province_code_dgt,province_code_ine,province_name,bev_registrations_2024,ev_share_national,bev_registrations_2027_proj
M,28,Madrid,25767,0.49201,302296
B,8,Barcelona,6775,0.12937,79484
V,46,Valencia,1600,0.03055,18771
A,3,Alicante,1443,0.02755,16929
GC,35,Las Palmas,1410,0.02692,16542
MA,29,Málaga,1366,0.02608,16026
Z,50,Zaragoza,1191,0.02274,13973
IB,7,Illes Balears,953,0.0182,11181
S,39,Cantabria,846,0.01615,9925
TF,38,Santa Cruz de Tenerife,793,0.01514,9303
CO,14,Córdoba,745,0.01423,8740
SE,41,Sevilla,671,0.01281,7872
TO,45,Toledo,578,0.01104,6781
,31,Navarra,517,0.00987,6065
BI,48,Bizkaia,501,0.00957,5878
MU,30,Murcia,495,0.00945,5807
O,33,Asturias,482,0.0092,5655
GR,18,Granada,475,0.00907,5573
PO,36,Pontevedra,452,0.00863,5303
C,15,A Coruña,438,0.00836,5139
VA,47,Valladolid,367,0.00701,4306
GI,17,Girona,366,0.00699,4294
BA,6,Badajoz,304,0.0058,3567
T,43,Tarragona,290,0.00554,3402
L,25,Lleida,285,0.00544,3344
GU,19,Guadalajara,271,0.00517,3179
SS,20,Gipuzkoa,268,0.00512,3144
CA,11,Cádiz,267,0.0051,3132
J,23,Jaén,258,0.00493,3027
LU,27,Lugo,236,0.00451,2769
CR,13,Ciudad Real,216,0.00412,2534
VI,1,Araba/Álava,184,0.00351,2159
CS,12,Castellón,179,0.00342,2100
BU,9,Burgos,161,0.00307,1889
LO,26,La Rioja,160,0.00306,1877
HU,22,Huesca,132,0.00252,1549
SA,37,Salamanca,112,0.00214,1314
OU,32,Ourense,108,0.00206,1267
LE,24,León,105,0.002,1232
AL,4,Almería,104,0.00199,1220
AB,2,Albacete,99,0.00189,1161
P,34,Palencia,76,0.00145,892
H,21,Huelva,51,0.00097,598
SG,40,Segovia,50,0.00095,587
AV,5,Ávila,41,0.00078,481
ZA,49,Zamora,36,0.00069,422
SO,42,Soria,29,0.00055,340
CC,10,Cáceres,29,0.00055,340
TE,44,Teruel,27,0.00052,317
CU,16,Cuenca,23,0.00044,270
CE,51,Ceuta,21,0.0004,246
ML,52,Melilla,18,0.00034,211
,,Unknown,0,0.0,0
